topic,course,chapter,lesson_title,lesson_type,duration
Marketing & Bán Hàng,Digital Marketing A-Z,Nền tảng Digital Marketing,Tổng quan Digital Marketing 2026,doc,15p
Marketing & Bán Hàng,Digital Marketing A-Z,Nền tảng Digital Marketing,Hành trình khách hàng (Customer Journey),doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,Nền tảng Digital Marketing,Phễu marketing AARRR,doc,18p
Marketing & Bán Hàng,Digital Marketing A-Z,Nền tảng Digital Marketing,Đặt mục tiêu & KPI marketing,doc,15p
Marketing & Bán Hàng,Digital Marketing A-Z,SEO & Content Marketing,SEO cơ bản: cách Google xếp hạng,doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,SEO & Content Marketing,Nghiên cứu từ khóa,doc,25p
Marketing & Bán Hàng,Digital Marketing A-Z,SEO & Content Marketing,Viết content chuẩn SEO,doc,22p
Marketing & Bán Hàng,Digital Marketing A-Z,SEO & Content Marketing,SEO On-page & Off-page,doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,SEO & Content Marketing,Đo lường thứ hạng & traffic,doc,15p
Marketing & Bán Hàng,Digital Marketing A-Z,Facebook & Instagram Ads,Thiết lập Business Manager,video,20p
Marketing & Bán Hàng,Digital Marketing A-Z,Facebook & Instagram Ads,Facebook Pixel & Conversion API,doc,25p
Marketing & Bán Hàng,Digital Marketing A-Z,Facebook & Instagram Ads,Cấu trúc chiến dịch quảng cáo,doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,Facebook & Instagram Ads,Nhắm đối tượng & Lookalike,doc,22p
Marketing & Bán Hàng,Digital Marketing A-Z,Facebook & Instagram Ads,Tối ưu chi phí & A/B testing,doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,Google Ads,Tổng quan Google Ads,doc,18p
Marketing & Bán Hàng,Digital Marketing A-Z,Google Ads,Search Ads & từ khóa,doc,22p
Marketing & Bán Hàng,Digital Marketing A-Z,Google Ads,Display & YouTube Ads,doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,Google Ads,Tối ưu điểm chất lượng,doc,18p
Marketing & Bán Hàng,Digital Marketing A-Z,Email Marketing,Xây dựng danh sách email,doc,18p
